source_svg,export_file,width_px,height_px,background,scales,notes
02-web-app/gaahex-header-color.svg,gaahex-header-color.png,220,64,transparent,"1x,2x,3x",UI placement (mesh-free)
02-web-app/gaahex-header-sticky-color.svg,gaahex-header-sticky-color.png,160,48,transparent,"1x,2x,3x",UI placement (mesh-free)
02-web-app/gaahex-header-mobile-color.svg,gaahex-header-mobile-color.png,40,40,transparent,"1x,2x,3x",UI placement (mesh-free)
02-web-app/gaahex-footer-white.svg,gaahex-footer-white.png,200,58,transparent,"1x,2x,3x",UI placement (mesh-free)
02-web-app/gaahex-menu-mobile-color.svg,gaahex-menu-mobile-color.png,180,120,transparent,"1x,2x,3x",UI placement (mesh-free)
02-web-app/gaahex-loading-color.svg,gaahex-loading-color.png,320,340,transparent,"1x,2x,3x",UI placement (mesh-free)
02-web-app/gaahex-error-color.svg,gaahex-error-color.png,200,200,transparent,"1x,2x,3x",UI placement (mesh-free)
02-web-app/gaahex-emptystate.svg,gaahex-emptystate.png,120,120,transparent,"1x,2x,3x",UI placement (mesh-free)
01-logo/horizontal/gaahex-logo-horizontal-color.svg,gaahex-logo-horizontal-color.png,master,master,transparent,"1x,2x,3x,4096",mesh-free
01-logo/horizontal/gaahex-logo-horizontal-color.svg,gaahex-logo-horizontal-color.jpg,2400,auto,cloud/ink per mode,-,q90
01-logo/horizontal/gaahex-logo-horizontal-light.svg,gaahex-logo-horizontal-light.png,master,master,transparent,"1x,2x,3x,4096",mesh-free
01-logo/horizontal/gaahex-logo-horizontal-light.svg,gaahex-logo-horizontal-light.jpg,2400,auto,cloud/ink per mode,-,q90
01-logo/horizontal/gaahex-logo-horizontal-dark.svg,gaahex-logo-horizontal-dark.png,master,master,transparent,"1x,2x,3x,4096",mesh-free
01-logo/horizontal/gaahex-logo-horizontal-dark.svg,gaahex-logo-horizontal-dark.jpg,2400,auto,cloud/ink per mode,-,q90
01-logo/horizontal/gaahex-logo-horizontal-white.svg,gaahex-logo-horizontal-white.png,master,master,transparent,"1x,2x,3x,4096",mesh-free
01-logo/horizontal/gaahex-logo-horizontal-white.svg,gaahex-logo-horizontal-white.jpg,2400,auto,cloud/ink per mode,-,q90
01-logo/horizontal/gaahex-logo-horizontal-black.svg,gaahex-logo-horizontal-black.png,master,master,transparent,"1x,2x,3x,4096",mesh-free
01-logo/horizontal/gaahex-logo-horizontal-black.svg,gaahex-logo-horizontal-black.jpg,2400,auto,cloud/ink per mode,-,q90
01-logo/horizontal/gaahex-logo-horizontal-grayscale.svg,gaahex-logo-horizontal-grayscale.png,master,master,transparent,"1x,2x,3x,4096",mesh-free
01-logo/horizontal/gaahex-logo-horizontal-grayscale.svg,gaahex-logo-horizontal-grayscale.jpg,2400,auto,cloud/ink per mode,-,q90
